customerID,Churn,sim_logins,sim_support_contacts,sim_data_usage_gb
7639-LIAYI,No,8,1,5.9614886229349855
2954-PIBKO,No,4,2,2.8123071288857253
8012-SOUDQ,No,6,0,4.974172487066516
9420-LOJKX,Yes,3,3,6.193328284023629
6575-SUVOI,No,8,0,1.480822704106
7495-OOKFY,Yes,2,3,1.5434891580508947
4667-QONEA,No,5,0,2.368045387105592
1658-BYGOY,Yes,3,2,1.8540729353375052
8769-KKTPH,No,6,0,2.7790797674086716
5067-XJQFU,No,3,1,10.862239962694812
3957-SQXML,No,4,0,3.3921660178665896
5954-BDFSG,No,7,0,3.475559126799886
0434-CSFON,No,6,0,6.856849196930817
1215-FIGMP,No,6,1,1.9162902654145304
0526-SXDJP,No,7,0,3.395399388118696
0557-ASKVU,No,5,1,4.925633139316119
5698-BQJOH,Yes,3,1,0.5861899738951136
5122-CYFXA,No,4,1,2.2723812039826594
8627-ZYGSZ,No,7,1,2.177061739072985
3410-YOQBQ,No,5,1,3.2521004951810375
3170-NMYVV,No,8,0,4.61191350072701
7410-OIEDU,No,6,0,3.4873587236423096
2273-QCKXA,No,7,0,7.943883131954919
0731-EBJQB,No,5,0,7.456840406306482
1891-QRQSA,No,3,1,3.1447728320985857
8028-PNXHQ,No,7,0,3.138152888097355
5630-AHZIL,No,5,0,1.67133425798959
2673-CXQEU,No,7,1,1.3392185704319866
6416-JNVRK,No,4,1,3.4665943387681026
5590-ZSKRV,No,7,0,2.9657590742652067
0191-ZHSKZ,No,9,0,2.9579131961833496
3887-PBQAO,No,7,1,5.573997744997302
5919-TMRGD,Yes,2,0,3.6564486578920503
8108-UXRQN,No,6,1,1.6391261179386654
9191-MYQKX,Yes,0,2,1.848815136837405
9919-YLNNG,No,5,0,2.3527714598049543
0318-ZOPWS,No,4,0,2.7265589077541836
4445-ZJNMU,No,8,0,2.7047796210939286
4808-YNLEU,No,5,0,2.315342791002407
1862-QRWPE,No,12,0,1.9519945692508063
2796-NNUFI,No,6,0,4.009155128546052
3016-KSVCP,No,8,1,1.7593229093281617
4767-HZZHQ,No,8,1,4.249457383117361
2424-WVHPL,No,8,0,4.6268792983916605
7233-PAHHL,No,7,0,1.9577012746544278
6067-NGCEU,No,10,1,1.9062522584595674
9848-JQJTX,No,10,2,0.7580349705629167
8637-XJIVR,Yes,2,3,3.6027869491132916
9803-FTJCG,No,5,0,1.6160856698850927
0278-YXOOG,Yes,1,1,3.4035661483167585
3212-KXOCR,No,7,3,0.9925290434849855
4598-XLKNJ,Yes,6,0,1.144076562987458
6380-ARCEH,No,8,1,3.3420948275398352
3679-XASPY,No,3,2,3.6540147500584506
7123-WQUHX,No,6,0,2.7150896012949683
5386-THSLQ,No,8,0,11.7337140275834
3192-NQECA,Yes,4,1,1.0837936687530643
6180-YBIQI,No,5,0,2.281009808605915
6728-DKUCO,No,8,0,7.762155316563002
9750-BOOHV,No,8,2,4.880860557185633
8597-CWYHH,No,8,3,3.4888485476890834
2848-YXSMW,No,4,1,2.374141994276988
0486-HECZI,Yes,3,3,2.504190701403715
4549-ZDQYY,No,6,1,7.3279195615693915
5712-AHQNN,No,4,0,1.0927572026963024
4846-WHAFZ,Yes,2,3,1.0880583098677987
5256-SKJGO,No,5,1,3.352689428085952
3071-VBYPO,No,5,2,1.2069860522130742
9560-BBZXK,No,5,1,5.2147993494196
5299-RULOA,Yes,3,5,2.2252282501924947
8402-OOOHJ,No,4,1,4.0159569429580015
9445-ZUEQE,No,7,1,1.7543389916389003
1091-SOZGA,No,9,0,1.70343974977097
2928-HLDBA,No,3,0,2.1238715375298227
0404-SWRVG,Yes,0,3,2.7870445482179145
6497-TILVL,No,9,1,1.7913888841945151
7219-TLZHO,No,3,1,3.271402781634084
4622-YNKIJ,No,7,1,11.854357860813579
4412-YLTKF,Yes,0,0,0.7104071883028219
6734-PSBAW,No,5,0,2.5725512925515193
3930-ZGWVE,No,2,1,3.6554438761876504
2639-UGMAZ,No,5,3,3.406968104340732
2876-GZYZC,No,7,0,2.973040330487705
6207-WIOLX,Yes,4,2,1.0421772863380137
8587-XYZSF,No,6,0,3.049143771293331
3091-FYHKI,Yes,1,2,0.8503351936738452
2372-HWUHI,Yes,1,5,0.496183306790136
7799-LGRDP,No,8,1,2.801256632574302
7850-VWJUU,No,3,0,3.593876933621689
3774-VBNXY,No,7,1,2.3877402551294122
6217-KDYWC,No,5,0,3.190370854721215
0390-DCFDQ,Yes,2,1,1.4659987260757315
3146-MSEGF,No,5,0,3.2941726694791593
4080-OGPJL,Yes,2,3,4.6723002441218675
1095-WGNGG,No,11,2,1.1171685772988205
2636-SJDOU,No,8,3,5.960076867024516
1131-QQZEB,No,3,1,1.1964913404946895
5716-EZXZN,No,4,0,3.1585212433369927
6837-BJYDQ,No,4,0,2.9574804285603804
2135-RXIHG,Yes,7,1,1.4583208226511086
6440-DKQGE,No,7,0,1.9479303450068015
3466-BYAVD,No,2,0,5.097035137765946
3780-YVMFA,No,9,0,3.1844398297051946
3874-EQOEP,Yes,7,0,0.7880482210116608
1679-JRFBR,No,5,0,5.205542403575397
9073-ZZIAY,No,6,2,1.346657242283499
3077-RSNTJ,No,5,0,5.232516269424962
6551-GNYDG,No,4,0,2.5021588234716394
9167-APMXZ,No,2,0,5.680120634765565
2749-CTKAJ,No,8,1,3.8766354015617583
6371-NZYEG,No,8,1,5.162155286614178
7554-NEWDD,No,6,2,4.442496473271459
8992-VONJD,No,6,1,3.9629441437070825
0867-MKZVY,Yes,3,0,1.5746272323200163
4482-EWFMI,No,11,0,1.2629400894341116
4648-YPBTM,No,5,0,3.4261892386683823
2907-ILJBN,No,4,0,4.772607475348457
6345-FZOQH,No,9,1,3.1290943498689106
3376-BMGFE,Yes,4,3,0.8193817967859666
5997-OPVFA,No,9,1,1.775430895278058
3445-HXXGF,Yes,1,1,0.8269607382335598
1159-WFSGR,No,4,1,12.880880646236912
7654-YWJUF,No,7,0,4.26461819006872
1875-QIVME,Yes,2,1,5.9157720066928405
6727-IOTLZ,No,7,1,10.646502583127141
0691-JVSYA,Yes,2,0,6.580222571992979
5918-VUKWP,No,9,0,6.9252460862672525
1744-JHKYS,No,9,1,9.421734988236103
2656-FMOKZ,Yes,1,1,0.5675527679719586
2070-FNEXE,Yes,5,1,1.3445333757835434
5947-SGKCL,No,4,0,3.6333169270575274
3712-PKXZA,No,3,0,2.7119819066753603
6317-YPKDH,Yes,1,0,2.3290352925092783
6582-OIVSP,No,7,1,4.3075960684608035
9367-WXLCH,Yes,4,1,0.7168077599336452
5524-KHNJP,No,4,1,2.239022830643321
1918-ZBFQJ,Yes,3,1,1.1183121663421423
1024-GUALD,Yes,3,1,0.3916103255709945
4827-USJHP,No,4,0,2.7061405191136916
8167-GJLRN,No,8,1,1.6706180117863108
0956-SYCWG,No,6,0,1.4840706295102064
8017-UVSZU,No,5,2,3.8199696850607094
7100-FQPRV,No,6,1,2.702733775630544
2472-OVKUP,Yes,2,1,0.185506908937608
2984-RGEYA,No,3,1,5.054864975272732
9680-NIAUV,No,8,1,5.622438005461432
2146-EGVDT,No,5,2,2.44156283832237
2604-IJPDU,No,9,0,5.891826715157739
9178-JHUVJ,No,4,0,0.9751103355063842
6168-YBYNP,No,8,0,4.627017849423554
7255-SSFBC,No,8,1,3.5999585151427547
3645-DEYGF,No,10,1,0.7160062167832318
9323-HGFWY,No,3,0,3.4469552317575625
8544-GOQSH,No,4,4,2.433481651360527
3363-DTIVD,No,5,0,1.0445668897436022
7018-WBJNK,No,8,1,4.84518297203238
9142-KZXOP,No,8,1,7.767448223641039
7674-YTAFD,No,7,2,1.7975711826518987
6348-SNFUS,No,4,1,5.58463026015196
1285-OKIPP,Yes,3,1,2.959229937256244
7825-ECJRF,Yes,5,1,0.9132362991872376
1347-KTTTA,No,7,1,10.249981051397985
7841-TZDMQ,Yes,2,1,0.8425328028908418
4195-NZGTA,No,4,0,7.540612856041993
7157-SMCFK,No,7,0,0.48266242940158355
4709-LKHYG,No,7,0,1.6783488746990884
2504-DSHIH,No,3,1,7.009915737927171
0699-NDKJM,No,5,1,9.51247882497238
9286-BHDQG,No,12,1,3.654107691419719
0230-WEQUW,No,5,0,4.074980331471094
2040-LDIWQ,No,8,2,8.412192582360563
6496-JDSSB,No,8,0,0.6645495681379302
9408-SSNVZ,Yes,2,2,0.14662534260785826
4443-EMBNA,No,3,0,2.1093563705399134
6469-MRVET,No,9,0,1.5329356907533143
0742-MOABM,Yes,0,1,2.243152085235082
5961-VUSRV,No,5,0,6.059290668129368
6778-JFCMK,No,5,1,5.100130229450191
6341-JVQGF,No,5,1,7.531852133177671
2232-DMLXU,Yes,3,1,1.5783080031203902
4811-JBUVU,No,2,0,6.5348571735579855
0945-TSONX,No,7,0,1.2968645621683714
2651-ZCBXV,No,6,2,1.4004363224480685
3316-UWXUY,No,8,1,2.344442589226465
8937-RDTHP,Yes,4,6,1.5947234870970577
7083-MIOPC,No,10,0,2.7991333999282104
1984-GPTEH,No,5,0,2.7353242271588987
1251-KRREG,Yes,1,1,2.3155705532663924
0621-JFHOL,No,5,2,6.619582505053218
9903-LYSAB,No,6,1,5.397337700741773
0094-OIFMO,Yes,0,2,3.0081133886536624
9227-UAQFT,No,2,0,12.783606732858262
7301-ABVAD,No,7,0,4.689104214851716
6614-FHDBO,No,8,1,6.31545939776885
7576-ASEJU,No,9,1,3.2421635604077848
9058-HRZSV,No,3,1,1.9457999725210997
4522-AKYLR,No,4,2,3.764800330750763
0221-WMXNQ,No,5,0,5.958647415479694
0303-UNCIP,No,6,1,4.591689032017635
9947-OTFQU,Yes,7,1,1.6368155068793877
0322-YINQP,Yes,4,0,5.245664508422069
0959-WHOKV,No,10,0,5.344220141064153
4075-JFPGR,No,5,0,3.294892161212133
4629-NRXKX,Yes,3,2,3.8545224402545495
9514-JDSKI,Yes,2,2,2.3089267731143783
3282-ZISZV,No,3,0,8.1552776915101
3675-YDUPJ,No,4,1,9.903076784858833
4111-BNXIF,No,11,0,2.323436782058206
7017-VFHAY,No,5,1,1.122471953773974
6655-LHBYW,No,7,1,4.349288922852451
4959-JOSRX,Yes,3,1,2.6351454365366447
5046-NUHWD,No,8,1,7.013563137423143
7273-TEFQD,Yes,1,2,1.3045531247869475
3606-TWKGI,Yes,1,1,1.077418703259135
7529-ZDFXI,No,3,0,5.576435347744438
7605-BDWDC,No,6,0,1.7673147492700165
1950-KSVVJ,No,4,1,6.815664538038537
0123-CRBRT,No,4,0,3.077644182039156
6292-TOSSS,No,8,0,4.9034263221142655
3197-ARFOY,No,9,1,3.7390056883076417
6323-AYBRX,Yes,4,0,3.3690363681004833
7014-ZZXAW,No,9,0,4.019369015836568
4385-GZQXV,Yes,1,0,1.3675554206921088
7633-MVPUY,No,7,1,2.681330463412685
6366-ZGQGL,Yes,1,2,0.9751367037973964
4716-HHKQH,No,6,0,5.388131867753384
5940-AHUHD,Yes,1,0,4.111947350614233
6432-TWQLB,Yes,6,2,0.8600837034374927
4484-GLZOU,Yes,2,2,2.2286321475589626
3179-GBRWV,No,1,2,2.171186250678132
8645-KWHJO,No,12,0,7.029598207697343
4130-MZLCC,No,4,1,4.319707701799018
0314-TKOSI,No,4,1,3.415842727362779
8229-MYEJZ,No,5,0,7.4708125104291305
2080-SRCDE,No,4,0,3.2923492409007418
9577-WJVCQ,No,5,0,7.065088312824363
9512-UIBFX,Yes,2,1,1.4240558958972624
6202-DYYFX,No,5,1,1.8425630632162662
3808-HFKDE,No,3,0,1.927736735997123
5583-SXDAG,Yes,2,4,2.2177221274067205
3488-PGMQJ,Yes,5,2,1.2252277309908912
3580-REOAC,Yes,4,3,2.7508195860375664
7534-BFESC,Yes,5,1,1.7773408780270756
3727-OWVYD,No,7,0,1.8021142425629912
2294-SALNE,No,3,0,2.906259826866165
4847-TAJYI,No,13,0,9.50808732160067
1563-IWQEX,No,10,0,0.3834379114687796
8203-XJZRC,No,5,0,3.870172623326708
6556-DBKZF,No,4,0,0.3070465370443883
6851-WEFYX,No,8,0,15.535954461373887
2985-JUUBZ,No,9,0,1.8818555356515088
6390-DSAZX,Yes,5,1,2.3066612058224987
0895-LMRSF,No,9,1,4.15974020891996
8098-LLAZX,Yes,6,0,0.9914669610435554
8266-VBFQL,No,7,1,2.273811273081877
8181-YHCMF,No,8,1,1.6679326090132323
2240-HSJQD,No,3,0,1.5695433977387698
1248-DYXUB,No,4,0,5.91634131985387
0265-EDXBD,Yes,2,1,1.6199177842741472
4115-BNPJY,No,7,0,0.729290674782323
3167-SNQPL,No,11,0,1.132947821743144
4091-TVOCN,No,3,0,3.6286621493040805
1098-TDVUQ,No,2,0,0.47223140861412355
7277-OZCGZ,No,7,1,0.5953001860829326
1557-EMYVT,No,6,0,4.76132890543947
2799-ARNLO,No,4,1,6.991356811673309
7563-BIUPC,Yes,2,0,1.837536389652414
5027-YOCXN,No,6,0,3.6548968447686554
3973-SKMLN,No,5,1,3.83147905767791
2321-OMBXY,Yes,4,1,2.667807533741318
2840-XANRC,Yes,3,0,1.3225566049479416
6745-JEFZB,No,4,0,2.5323644710424724
5020-ZSTTY,Yes,3,4,0.5136356863719634
9880-TDQAC,No,6,0,3.2433629505680406
8705-WZCYL,No,5,0,4.591973339510196
7102-JJVTX,No,2,0,2.4293822406719494
8626-PTQGE,No,8,1,1.1434496989908995
4983-CLMLV,No,8,0,1.8048501471676692
5701-YVSVF,No,7,1,1.6159629396076554
5804-LEPIM,Yes,6,0,0.6535062332082945
5697-GOMBF,No,6,1,1.9992343043822858
2739-CACDQ,No,5,1,3.0378771239408606
9385-EHGDO,No,2,1,1.1977280580083007
9498-FIMXL,No,5,1,2.046972446691134
2379-GYFLQ,No,8,1,3.3299258144769985
0122-OAHPZ,Yes,3,1,1.0495643015983929
2868-SNELZ,Yes,2,1,2.321556783890881
4322-RCYMT,Yes,3,2,0.6756435426544206
6680-NENYN,Yes,1,1,3.3378212336159536
2088-IEBAU,No,2,0,8.886946567515759
7982-VCELR,No,3,1,1.758481740354841
1343-EHPYB,Yes,3,0,2.3953568666500913
6035-BXTTY,No,9,1,2.5973316873157617
6885-PKOAM,No,8,1,4.524812134426898
7520-HQWJU,No,6,1,1.937174252585445
9639-BUJXT,No,5,0,2.2800895143551756
5924-SNGKP,No,4,1,3.904366537411291
0021-IKXGC,No,6,0,1.6366996634914182
2034-GDRCN,Yes,3,0,0.18727556597741643
8966-SNIZF,No,7,0,12.91585932912233
6243-OZGFH,No,6,2,2.70586829276566
4654-DLAMQ,No,3,0,1.8516477527773845
0513-RBGPE,No,3,1,2.9359985620647886
5160-UXJED,No,5,0,12.382097217225345
4115-NZRKS,No,4,1,5.0615447583254625
0219-YTZUE,Yes,5,1,2.0554397049371538
0623-IIHUG,Yes,1,0,1.1048193363436236
4572-DVCGN,Yes,1,3,3.094927198767484
3351-NGXYI,No,8,0,1.5385988562759818
8984-EYLLL,No,6,1,3.1564927361996697
9057-MSWCO,Yes,1,1,2.4619911414611027
9833-TGFHX,No,9,1,3.223067515669937
9294-TDIPC,No,6,0,2.519801443465864
5229-DTFYB,No,6,0,3.6301220036072173
0104-PPXDV,No,6,0,2.4201826914144937
5176-LMJXE,No,11,0,2.725486846579805
3583-KRKMD,No,5,2,5.0299246346068
1010-DIAUQ,Yes,4,1,0.46074910756547793
9069-LGEUL,No,4,1,3.257475498180387
7302-ZHMHP,No,2,0,1.8138646493837662
9571-EDEBV,No,7,0,6.534537893276174
3520-FJGCV,No,4,0,5.03191019263664
6563-VRERX,No,5,1,4.052424541107475
0259-GBZSH,Yes,3,3,3.300444494804418
6122-EFVKN,No,5,0,3.098209730380436
2805-EDJPQ,No,4,1,3.2621730190713008
6862-CQUMB,No,4,0,3.8202050827401557
7156-MXBJE,No,6,1,1.758363833278605
6158-HDPXZ,No,8,0,1.2964344631713078
9601-BRXPO,Yes,5,2,0.9602867219935883
2863-IMQDR,No,6,0,2.8464911222192018
5686-CMAWK,No,9,0,0.7065644592784865
5651-CRHKQ,No,5,1,2.1871022532700843
6905-NIQIN,Yes,1,0,2.5618147572929035
8204-YJCLA,No,2,1,1.948821836789916
5167-ZFFMM,Yes,5,1,2.7122489921209274
6583-SZVGP,No,3,0,7.74798972636669
4895-TMWIR,Yes,4,3,2.5069396864102518
0533-BNWKF,Yes,3,0,1.5595772086634763
1708-PBBOA,No,9,2,1.794876110546209
8782-LKFPK,No,4,0,1.8491223395181349
5522-JBWMO,No,3,1,3.4118530103276408
3597-MVHJT,No,6,0,0.2916265018547852
9774-NRNAU,No,4,1,2.2432024499060614
0224-RLWWD,No,2,0,6.192521490008278
9967-ATRFS,No,9,0,1.6335403231313044
3951-NJCVI,No,3,0,5.078529185860388
2977-CEBSX,No,7,0,3.0467136727600903
0177-PXBAT,No,8,1,0.1651198319618437
6599-CEBNN,Yes,9,0,0.8542160436799274
2519-ERQOJ,No,6,0,9.151636489375353
5876-QMYLD,No,6,0,2.100144922605997
2277-AXSDC,No,3,0,3.633832919559324
9442-JTWDL,No,6,0,3.349415189523501
0979-PHULV,Yes,5,2,2.2299565065244145
3067-SVMTC,No,6,0,7.887740616572623
5495-GPSRW,No,6,0,6.206178053006467
7606-BPHHN,No,7,1,0.17115793723356046
4742-DRORA,No,4,1,3.204861101333895
0111-KLBQG,No,6,1,1.6224152461957357
4800-VHZKI,Yes,1,2,5.468685476302078
7989-CHGTL,Yes,1,2,0.8409257594037814
0334-GDDSO,Yes,5,5,2.10002478792246
4163-NCJAK,No,5,0,3.701689188661005
5233-AOZUF,No,7,0,1.6330021628852538
5973-EJGDP,No,10,2,2.432988633518968
1996-DBMUS,No,6,0,9.658844684023219
7916-VCCPB,No,10,1,6.270962711155803
4686-GEFRM,No,10,0,3.79055569244425
5249-QYHEX,No,8,2,2.873188670859273
0578-SKVMF,Yes,3,3,2.0729601543943637
5564-NEMQO,Yes,3,0,5.389514334352822
2233-FAGXV,No,9,0,4.375805779334163
5605-IYGFG,No,7,1,2.48103746581904
7663-ZTEGJ,No,4,1,4.188464640954494
3935-TBRZZ,No,7,3,2.505850920027071
8111-BKVDS,No,3,0,3.6101193820315225
2055-SIFSS,No,1,1,12.44593819040111
2806-MLNTI,No,3,0,3.8379705661988526
8734-DKSTZ,No,4,1,2.8034286461645106
4360-PNRQB,No,3,0,2.754978884653348
6152-ONASV,No,6,0,9.769206928179827
9063-ZGTUY,Yes,5,2,1.6579643650000788
7781-HVGMK,No,8,0,5.121828992106882
2181-UAESM,No,4,0,1.2144779263547445
2957-LOLHO,Yes,0,1,3.3498000888259405
6048-NJXHX,No,4,0,7.050689077939952
2320-SLKMB,No,11,0,0.7475097146708466
4980-URKXC,No,11,1,3.827103102136188
4376-KFVRS,No,4,0,2.209039074572362
5886-VLQVU,No,5,2,3.5081457464688275
3577-AMVUX,No,5,0,5.48261487847208
0771-WLCLA,No,6,2,7.5677810662052245
5628-RKIFK,No,4,0,5.6028153778171434
0206-TBWLC,No,5,0,5.936129453445213
2937-FTHUR,No,5,0,1.3572674029844067
1910-FMXJM,No,11,1,3.2064224283535347
7752-XUSCI,Yes,4,1,0.9607730155515914
4110-PFEUZ,Yes,2,0,1.1024191431105916
0732-OCQOC,No,2,0,7.378347167930635
5168-MSWXT,No,10,0,1.091121469545131
1090-ESELR,No,8,0,1.1097672946701602
8592-PLTMQ,No,4,0,4.112132775966278
5760-WRAHC,No,3,1,4.147202766413933
8847-GEOOQ,No,3,0,2.2390068809278656
0256-LTHVJ,Yes,1,2,1.692726038586874
4785-FCIFB,No,12,0,5.901395312916825
8313-NDOIA,No,9,1,2.400789573899407
5149-CUZUJ,No,8,1,1.3331585361311769
0942-KOWSM,No,6,0,3.610678589717855
4237-CLSMM,No,7,0,3.1973454014671514
1452-VOQCH,No,5,0,6.9006246891897725
4719-UMSIY,No,5,0,2.0729609978263324
6614-VBEGU,No,6,1,2.838800679522406
0880-TKATG,Yes,3,2,0.7555174606355964
3811-VBYBZ,Yes,4,0,2.5295692078305327
1480-BKXGA,No,4,0,1.1933623836391951
2996-XAUVF,No,10,2,1.6237453958341568
9076-AXYIK,No,6,0,8.142788560674639
5968-XQIVE,No,6,0,3.3688322593205315
8896-RAZCR,No,5,1,3.7891552703248204
4640-UHDOS,Yes,0,0,3.1875585112635845
4933-IKULF,No,4,0,5.92357615332104
3583-EKAPL,Yes,5,3,2.5933853223039796
1304-BCCFO,No,4,0,8.11652714574567
4104-PVRPS,No,10,1,0.9224704908381008
9399-APLBT,Yes,1,3,6.929222385942183
2359-KMGLI,Yes,3,3,0.8945668190446386
3780-DDGSE,No,5,1,1.9938603162021953
4431-EDMIQ,No,8,2,3.6451192103196934
0306-JAELE,Yes,2,1,1.8809384775048454
6227-HWPWX,Yes,2,1,3.217600897925909
0486-LGCCH,No,5,0,2.492527809120846
0447-BEMNG,Yes,2,3,4.371518510215544
4612-SSVHJ,No,5,0,2.6189686574911573
5168-MQQCA,No,7,0,6.452587053826822
5949-XIKAE,Yes,4,1,2.8599226832672486
7971-HLVXI,No,5,0,3.1824888019566506
9094-AZPHK,No,10,1,8.24312695556682
3649-JPUGY,No,7,0,2.1095594731683316
8372-JUXUI,Yes,1,1,0.20196030733614373
3552-CTCYF,No,9,0,2.3077807568590116
6778-YSNIH,No,6,0,4.394864412523098
0388-EOPEX,Yes,2,0,1.109258360381074
5756-OZRIO,No,9,0,0.7017428990202299
6579-JPICP,No,9,1,1.9284768435572825
8205-OTCHB,Yes,4,4,1.296125796606319
4134-BSXLX,No,8,0,3.8126198287067052
0505-SPOOW,No,3,2,1.976025812105456
6235-VDHOM,Yes,5,2,2.2317602427112133
7783-YKGDV,Yes,4,1,1.7247595475748771
4374-YMUSQ,No,6,0,6.162985994430388
4513-CXYIX,No,4,0,4.222677492361558
3957-HHLMR,No,3,0,4.04149841396315
7803-XOCCZ,No,7,0,10.556331456875863
5736-YEJAX,No,4,1,9.129538223687142
5609-CEBID,Yes,4,0,0.7653813471117243
8981-FJGLA,No,12,1,3.4599467882357633
7218-HKQFK,Yes,5,0,3.00678360641157
4636-QRJKY,Yes,2,0,0.888748174752594
1135-LMECX,No,7,0,2.4225659808970734
4332-MUOEZ,No,5,0,4.660642130437362
8535-SFUTN,No,4,0,5.536976166439456
5956-VKDTT,Yes,1,2,0.9593477735300561
8677-HDZEE,No,2,2,7.53304855134933
2475-MROZF,No,5,1,0.8027856143563329
9412-GHEEC,Yes,1,2,0.6180221345821086
3482-ABPKK,No,5,2,0.591036729083185
6705-LXORM,No,5,0,1.816158424132862
0257-ZESQC,Yes,1,2,2.161400034511857
7531-GQHME,No,2,0,4.787327714842659
5174-ITUMV,No,2,3,2.51000346916272
4109-CYRBD,No,5,1,1.3056992756381094
0913-XWSCN,No,10,1,2.789694224476325
6825-UYPFK,Yes,3,2,0.9766189219421298
8397-MVTAZ,Yes,4,3,2.663066860383952
0750-EBAIU,No,7,0,3.8477809341510207
8606-CIQUL,No,4,0,2.531298300621734
3571-DPYUH,No,5,0,4.3080987980253855
7601-GNDYK,No,6,0,0.6548961755777091
0356-OBMAC,No,8,0,4.984940838866055
8067-NIOYM,No,7,1,3.036974471150611
1403-GYAFU,No,9,1,4.663187928785784
4234-XTNEA,No,9,0,3.2491777807508306
1297-VQDRP,No,10,0,2.3195320481575057
9282-IZGQK,Yes,3,2,0.7139697327237179
5348-CAGXB,No,10,0,10.328191582419915
0621-HJWXJ,No,6,0,2.4091358195680463
5844-QVTAT,No,5,0,2.1642857267801197
8905-IAZPF,No,4,0,1.7797040672481343
5394-MEITZ,No,2,0,4.460175533942892
6859-QNXIQ,No,7,1,0.7595002241291272
2782-LFZVW,No,6,1,1.8737654703121243
2866-IKBTM,No,12,0,3.393254426703858
1342-JPNKI,Yes,0,1,1.283979170059548
2817-NTQDO,Yes,2,0,4.72182267033821
7129-AZJDE,No,5,0,3.4318839761253885
6986-IJDHX,Yes,1,0,1.3389818024122249
2560-PPCHE,No,9,2,2.538783147065379
4676-MQUEA,No,4,1,7.24958960175071
8138-EALND,No,9,0,2.900459749897692
3580-HYCSP,No,11,1,8.73213161601473
1352-HNSAW,No,11,0,2.1979868952534245
2075-PUEPR,No,3,0,5.792283130039999
1982-FEBTD,No,9,0,3.8910380675646548
5301-GAUUY,Yes,6,1,1.4142267328766085
5791-KAJFD,No,6,0,5.703952040351462
2654-VBVPB,No,10,0,2.2118586127372772
1154-HYWWO,No,8,1,4.359364832896451
2501-XWWTZ,No,5,1,1.3307278638621018
3716-UVSPD,No,4,1,2.9507018068106508
6815-ABQFQ,No,9,0,9.269735134491404
7343-EOBEU,No,11,0,1.243101106230121
3701-SFMUH,No,2,0,0.4412720052626515
6103-LIANB,No,9,0,4.34437226890391
7319-VENRZ,No,4,0,8.755772925223408
5846-NEQVZ,No,3,1,7.609114388379696
6967-QIQRV,No,4,1,0.6824335275070839
5781-RFZRP,No,4,0,3.2879769571576904
0939-YAPAF,Yes,3,0,1.9600707907415413
0308-IVGOK,No,4,0,4.484102113962083
7293-LSCDV,No,6,1,6.06272377673145
7025-WCBNE,No,3,1,3.698797232945534
5756-JYOJT,No,8,1,3.346347140684456
4710-FDUIZ,Yes,4,1,3.2396328523175786
6030-REHUX,No,7,2,3.7796618233800645
9548-LIGTA,No,4,1,5.146600778915471
5150-LJNSR,No,7,1,8.271622859021582
8270-RKSAP,No,5,0,1.3232759413496398
6522-YRBXD,No,9,2,4.997637631298046
